# Energy(GeV) Height(cm) Zenith(deg) Weights
1.778279e+06 8.901705e+06 85.000000 4.314390e-13
2.238721e+06 8.901705e+06 85.000000 2.612554e-13
2.818383e+06 8.901705e+06 85.000000 1.561763e-13
3.548134e+06 8.901705e+06 85.000000 9.184558e-14
4.466836e+06 8.901705e+06 85.000000 5.297589e-14
5.623413e+06 8.901705e+06 85.000000 2.976552e-14
7.079458e+06 8.901705e+06 85.000000 1.616942e-14
8.912509e+06 8.901705e+06 85.000000 8.440027e-15
1.122018e+03 8.157939e+06 85.000000 3.456534e-06
1.412538e+03 8.157939e+06 85.000000 2.379454e-06
1.778279e+03 8.157939e+06 85.000000 1.616807e-06
2.238721e+03 8.157939e+06 85.000000 1.085411e-06
2.818383e+03 8.157939e+06 85.000000 7.207818e-07
3.548134e+03 8.157939e+06 85.000000 4.737885e-07
4.466836e+03 8.157939e+06 85.000000 3.085145e-07
5.623413e+03 8.157939e+06 85.000000 1.991977e-07
7.079458e+03 8.157939e+06 85.000000 1.276740e-07
8.912509e+03 8.157939e+06 85.000000 8.126605e-08
1.122018e+04 8.157939e+06 85.000000 5.139381e-08
1.412538e+04 8.157939e+06 85.000000 3.231101e-08
1.778279e+04 8.157939e+06 85.000000 2.020179e-08
2.238721e+04 8.157939e+06 85.000000 1.256955e-08
2.818383e+04 8.157939e+06 85.000000 7.784968e-09
3.548134e+04 8.157939e+06 85.000000 4.801555e-09
4.466836e+04 8.157939e+06 85.000000 2.951416e-09
5.623413e+04 8.157939e+06 85.000000 1.808956e-09
7.079458e+04 8.157939e+06 85.000000 1.105913e-09
8.912509e+04 8.157939e+06 85.000000 6.749551e-10
1.122018e+05 8.157939e+06 85.000000 4.113785e-10
1.412538e+05 8.157939e+06 85.000000 2.505591e-10
1.778279e+05 8.157939e+06 85.000000 1.526145e-10
2.238721e+05 8.157939e+06 85.000000 9.300879e-11
2.818383e+05 8.157939e+06 85.000000 5.675816e-11
3.548134e+05 8.157939e+06 85.000000 3.467281e-11
4.466836e+05 8.157939e+06 85.000000 2.123596e-11
5.623413e+05 8.157939e+06 85.000000 1.303479e-11
7.079458e+05 8.157939e+06 85.000000 8.013314e-12
8.912509e+05 8.157939e+06 85.000000 4.929418e-12
1.122018e+06 8.157939e+06 85.000000 3.029435e-12
1.412538e+06 8.157939e+06 85.000000 1.859273e-12
1.778279e+06 8.157939e+06 85.000000 1.133613e-12
2.238721e+06 8.157939e+06 85.000000 6.855685e-13
2.818383e+06 8.157939e+06 85.000000 4.093675e-13
3.548134e+06 8.157939e+06 85.000000 2.405162e-13
4.466836e+06 8.157939e+06 85.000000 1.386176e-13
5.623413e+06 8.157939e+06 85.000000 7.783571e-14
7.079458e+06 8.157939e+06 85.000000 4.226275e-14
8.912509e+06 8.157939e+06 85.000000 2.205320e-14
1.122018e+03 7.438817e+06 85.000000 9.052184e-06
1.412538e+03 7.438817e+06 85.000000 6.227132e-06
1.778279e+03 7.438817e+06 85.000000 4.228805e-06
2.238721e+03 7.438817e+06 85.000000 2.837536e-06
2.818383e+03 7.438817e+06 85.000000 1.883494e-06
3.548134e+03 7.438817e+06 85.000000 1.237588e-06
4.466836e+03 7.438817e+06 85.000000 8.055794e-07
5.623413e+03 7.438817e+06 85.000000 5.199512e-07
7.079458e+03 7.438817e+06 85.000000 3.331380e-07
8.912509e+03 7.438817e+06 85.000000 2.119688e-07
1.122018e+04 7.438817e+06 85.000000 1.340022e-07
1.412538e+04 7.438817e+06 85.000000 8.421429e-08
1.778279e+04 7.438817e+06 85.000000 5.263234e-08
2.238721e+04 7.438817e+06 85.000000 3.273405e-08
2.818383e+04 7.438817e+06 85.000000 2.026474e-08
3.548134e+04 7.438817e+06 85.000000 1.249260e-08
4.466836e+04 7.438817e+06 85.000000 7.674801e-09
5.623413e+04 7.438817e+06 85.000000 4.701127e-09
7.079458e+04 7.438817e+06 85.000000 2.872107e-09
8.912509e+04 7.438817e+06 85.000000 1.751541e-09
1.122018e+05 7.438817e+06 85.000000 1.066619e-09
1.412538e+05 7.438817e+06 85.000000 6.490054e-10
1.778279e+05 7.438817e+06 85.000000 3.948630e-10
2.238721e+05 7.438817e+06 85.000000 2.403403e-10
2.818383e+05 7.438817e+06 85.000000 1.464590e-10
3.548134e+05 7.438817e+06 85.000000 8.933266e-11
4.466836e+05 7.438817e+06 85.000000 5.462197e-11
5.623413e+05 7.438817e+06 85.000000 3.346818e-11
