# Energy(GeV) Height(cm) Zenith(deg) Weights
2.818383e+03 7.438817e+06 85.000000 9.533553e-15
3.548134e+03 7.438817e+06 85.000000 4.324520e-15
4.466836e+03 7.438817e+06 85.000000 1.947586e-15
5.623413e+03 7.438817e+06 85.000000 8.717592e-16
7.079458e+03 7.438817e+06 85.000000 3.880384e-16
8.912509e+03 7.438817e+06 85.000000 1.720627e-16
1.122018e+04 7.438817e+06 85.000000 7.599876e-17
1.412538e+04 7.438817e+06 85.000000 3.347494e-17
1.778279e+04 7.438817e+06 85.000000 1.470627e-17
2.238721e+04 7.438817e+06 85.000000 6.440429e-18
2.818383e+04 7.438817e+06 85.000000 2.810879e-18
3.548134e+04 7.438817e+06 85.000000 1.222366e-18
4.466836e+04 7.438817e+06 85.000000 5.296258e-19
5.623413e+04 7.438817e+06 85.000000 2.285060e-19
7.079458e+04 7.438817e+06 85.000000 9.820935e-20
8.912509e+04 7.438817e+06 85.000000 4.201586e-20
1.122018e+05 7.438817e+06 85.000000 1.788551e-20
1.412538e+05 7.438817e+06 85.000000 7.562591e-21
1.778279e+05 7.438817e+06 85.000000 3.180561e-21
2.238721e+05 7.438817e+06 85.000000 1.330209e-21
2.818383e+05 7.438817e+06 85.000000 5.529865e-22
3.548134e+05 7.438817e+06 85.000000 2.286258e-22
4.466836e+05 7.438817e+06 85.000000 9.389693e-23
5.623413e+05 7.438817e+06 85.000000 3.835932e-23
7.079458e+05 7.438817e+06 85.000000 1.559287e-23
8.912509e+05 7.438817e+06 85.000000 6.328264e-24
1.122018e+06 7.438817e+06 85.000000 2.570840e-24
1.412538e+06 7.438817e+06 85.000000 1.049604e-24
1.778279e+06 7.438817e+06 85.000000 4.335353e-25
2.238721e+06 7.438817e+06 85.000000 1.820184e-25
2.818383e+06 7.438817e+06 85.000000 7.784413e-26
3.548134e+06 7.438817e+06 85.000000 3.400471e-26
4.466836e+06 7.438817e+06 85.000000 1.517128e-26
5.623413e+06 7.438817e+06 85.000000 6.906912e-27
7.079458e+06 7.438817e+06 85.000000 3.194283e-27
8.912509e+06 7.438817e+06 85.000000 1.501653e-27
1.122018e+03 6.744419e+06 85.000000 5.014923e-13
1.412538e+03 6.744419e+06 85.000000 2.382651e-13
1.778279e+03 6.744419e+06 85.000000 1.117694e-13
2.238721e+03 6.744419e+06 85.000000 5.180040e-14
2.818383e+03 6.744419e+06 85.000000 2.374340e-14
3.548134e+03 6.744419e+06 85.000000 1.078065e-14
4.466836e+03 6.744419e+06 85.000000 4.859300e-15
5.623413e+03 6.744419e+06 85.000000 2.176707e-15
7.079458e+03 6.744419e+06 85.000000 9.695394e-16
8.912509e+03 6.744419e+06 85.000000 4.301584e-16
1.122018e+04 6.744419e+06 85.000000 1.900925e-16
1.412538e+04 6.744419e+06 85.000000 8.376535e-17
1.778279e+04 6.744419e+06 85.000000 3.681322e-17
2.238721e+04 6.744419e+06 85.000000 1.612664e-17
2.818383e+04 6.744419e+06 85.000000 7.039967e-18
3.548134e+04 6.744419e+06 85.000000 3.061979e-18
4.466836e+04 6.744419e+06 85.000000 1.326834e-18
5.623413e+04 6.744419e+06 85.000000 5.724872e-19
7.079458e+04 6.744419e+06 85.000000 2.460453e-19
8.912509e+04 6.744419e+06 85.000000 1.052550e-19
1.122018e+05 6.744419e+06 85.000000 4.479923e-20
1.412538e+05 6.744419e+06 85.000000 1.893870e-20
1.778279e+05 6.744419e+06 85.000000 7.962718e-21
2.238721e+05 6.744419e+06 85.000000 3.329076e-21
2.818383e+05 6.744419e+06 85.000000 1.383331e-21
3.548134e+05 6.744419e+06 85.000000 5.716121e-22
4.466836e+05 6.744419e+06 85.000000 2.346114e-22
5.623413e+05 6.744419e+06 85.000000 9.577181e-23
7.079458e+05 6.744419e+06 85.000000 3.889545e-23
8.912509e+05 6.744419e+06 85.000000 1.576826e-23
1.122018e+06 6.744419e+06 85.000000 6.397602e-24
1.412538e+06 6.744419e+06 85.000000 2.608103e-24
1.778279e+06 6.744419e+06 85.000000 1.075457e-24
2.238721e+06 6.744419e+06 85.000000 4.506859e-25
2.818383e+06 6.744419e+06 85.000000 1.923624e-25
3.548134e+06 6.744419e+06 85.000000 8.385734e-26
4.466836e+06 6.744419e+06 85.000000 3.733739e-26
5.623413e+06 6.744419e+06 85.000000 1.696562e-26
7.079458e+06 6.744419e+06 85.000000 7.832417e-27
8.912509e+06 6.744419e+06 85.000000 3.676277e-27
1.122018e+03 6.074826e+06 85.000000 1.199064e-12
1.412538e+03 6.074826e+06 85.000000 5.705909e-13
1.778279e+03 6.074826e+06 85.000000 2.680438e-13
2.238721e+03 6.074826e+06 85.000000 1.243841e-13
2.818383e+03 6.074826e+06 85.000000 5.707682e-14
3.548134e+03 6.074826e+06 85.000000 2.594106e-14
4.466836e+03 6.074826e+06 85.000000 1.170275e-14
5.623413e+03 6.074826e+06 85.000000 5.246108e-15
7.079458e+03 6.074826e+06 85.000000 2.338205e-15
8.912509e+03 6.074826e+06 85.000000 1.037973e-15
1.122018e+04 6.074826e+06 85.000000 4.589077e-16
1.412538e+04 6.074826e+06 85.000000 2.022989e-16
1.778279e+04 6.074826e+06 85.000000 8.893392e-17
2.238721e+04 6.074826e+06 85.000000 3.896817e-17
2.818383e+04 6.074826e+06 85.000000 1.701402e-17
3.548134e+04 6.074826e+06 85.000000 7.400771e-18
4.466836e+04 6.074826e+06 85.000000 3.207009e-18
5.623413e+04 6.074826e+06 85.000000 1.383658e-18
7.079458e+04 6.074826e+06 85.000000 5.946047e-19
8.912509e+04 6.074826e+06 85.000000 2.543173e-19
1.122018e+05 6.074826e+06 85.000000 1.082164e-19
1.412538e+05 6.074826e+06 85.000000 4.573303e-20
1.778279e+05 6.074826e+06 85.000000 1.922048e-20
2.238721e+05 6.074826e+06 85.000000 8.031841e-21
2.818383e+05 6.074826e+06 85.000000 3.335544e-21
3.548134e+05 6.074826e+06 85.000000 1.377359e-21
4.466836e+05 6.074826e+06 85.000000 5.648834e-22
5.623413e+05 6.074826e+06 85.000000 2.303903e-22
7.079458e+05 6.074826e+06 85.000000 9.347232e-23
8.912509e+05 6.074826e+06 85.000000 3.784844e-23
1.122018e+06 6.074826e+06 85.000000 1.533482e-23
1.412538e+06 6.074826e+06 85.000000 6.241625e-24
1.778279e+06 6.074826e+06 85.000000 2.569147e-24
2.238721e+06 6.074826e+06 85.000000 1.074510e-24
2.818383e+06 6.074826e+06 85.000000 4.576553e-25
3.548134e+06 6.074826e+06 85.000000 1.990713e-25
4.466836e+06 6.074826e+06 85.000000 8.844421e-26
5.623413e+06 6.074826e+06 85.000000 4.010470e-26
7.079458e+06 6.074826e+06 85.000000 1.847966e-26
8.912509e+06 6.074826e+06 85.000000 8.658833e-27
1.122018e+03 5.430116e+06 85.000000 2.751863e-12
1.412538e+03 5.430116e+06 85.000000 1.311617e-12
1.778279e+03 5.430116e+06 85.000000 6.170404e-13
2.238721e+03 5.430116e+06 85.000000 2.866979e-13
2.818383e+03 5.430116e+06 85.000000 1.317051e-13
3.548134e+03 5.430116e+06 85.000000 5.991701e-14
4.466836e+03 5.430116e+06 85.000000 2.705254e-14
5.623413e+03 5.430116e+06 85.000000 1.213554e-14
7.079458e+03 5.430116e+06 85.000000 5.411987e-15
8.912509e+03 5.430116e+06 85.000000 2.403624e-15
1.122018e+04 5.430116e+06 85.000000 1.063084e-15
1.412538e+04 5.430116e+06 85.000000 4.687658e-16
